0084;Alien Shooter: Vengeance;2007;Sigma Team;
0085;Alien Stars;2005;Awem;
0086;Alien Swarm;2010;Valve;
0087;Aliens versus Predator;1999;Rebellion Developments;
0088;Aliens versus Predator 2;2001;Third Law Entertainment;
0089;Aliens versus Predator Classic 2000;2010;Rebellion Developments;
0090;Aliens vs. Predator;2010;Rebellion Developments;
0091;Aliens: Colonial Marines;2010;Gearbox Software;
0092;Allegiance;2000;Microsoft Research;
0093;Alliance of Valiant Arms;2007;Red Duck;
0094;Allied General;1995;Strategic Simulations;
0095;Alone in the Dark;2008;Eden Games;
0096;Alone in the Dark: The New Nightmare;2001;Darkworks;
0097;Alpha Prime;2007;Black Element Software;
0098;Alpha Protocol;2009;Obsidian Entertainment;
0099;Alvin and the Chipmunks;2007;Sensory Sweep Studios;
0100;Amazon Trail 3rd Edition;1998;MECC;
0101;Amazon Trail II;1996;MECC;
0102;Amber: Journeys Beyond;1996;Hue Forest Entertainment;
0103;American Conquest;2003;GSC Game World;
0104;American Idol;2003;Hothouse Creations;
0105;American McGee's Alice;2000;Rogue Entertainment;
0106;American McGee's Grimm;2008;Spicy Horse;
0107;Amerzone;1999;Microids;
0108;Amnesia: A Machine for Pigs;2013;The Chinese Room;
0109;Amnesia: The Dark Descent;2010;Frictional Games;
0110;Amok;1996;Lemon;
0111;Anachronox;2001;Ion Storm;
0112;Anacreon: Imperial Conquest in the Far Future;2004;Thinking Machine Associates;
0113;Anarchy Online;2001;Funcom;
0114;Ancient Wars: Sparta;2007;World Forge;
0115;And Yet It Moves;2009;Broken Rules;
0116;Angel Type;2005;Minori;
0117;Angelique;1994;Ruby Party;
0118;Angelique Special;1995;Koei;
0119;Angels Online;2006;UserJoy Technology;
0120;Angry Birds (video game);2011;Rovio Entertainment;
0121;Angry Birds 2;2019;Rovio Entertainment;
0122;Angry Birds Friends;2019;Rovio Entertainment;
0123;Angry Birds Rio;2011;Rovio Entertainment;
0124;Angry Birds Seasons;2011;Rovio Entertainment;
0125;Animamundi: Dark Alchemist;2004;Karin Entertainment;
0126;Animaniacs Game Pack;1997;Funnybone Entertainment;
0127;Ankh;2005;Deck13 Interactive;
0128;Ankh: Heart of Osiris;2006;Deck13 Interactive;
0129;Anno 1404;2009;Related Designs;
0130;Anno 1503;2003;Max Design;
0131;Anno 1602;1998;Max Design;
0132;Anno 1701;2006;Related Designs;
0133;Anno 2070;2011;Related Designs;
0134;Anodyne;2013;Analgesic Productions;
0135;Anomaly: Warzone Earth;2011;11 Bit Studios;
0136;Ant War;2003;Anarchy Enterprises;
0137;Antinomy of Common Flowers;2017;Twilight Frontier, Team Shanghai Alice;
0138;Anubis II;2005;Data Design Interactive;
0139;APB: All Points Bulletin;2010;Realtime Worlds;
0140;Apex Legends;2019;Respawn Entertainment;
0141;Apprentice;2003;Herculean Effort Productions;
0142;Aqua Moto Racing Utopia;2016;Zordix;
0143;AquaNox;1996;Massive Development;
0144;AquaNox 2: Revelation;2003;Massive Development;
0145;Aquaria;2007;Bit Blot;
0146;Arcanum: Of Steamworks and Magick Obscura;2001;Troika Games;
0147;ArchLord;2005;NHN Games;
0148;Arcomage;1999;New World Computing;
0149;Area 51;1995;Mesa Logic;
0150;Area 51;2005;Midway Austin;
0151;Arkadian Warriors;2007;Wanako Games;
0152;ARMA 2;2009;Bohemia Interactive Studio;
0153;ARMA: Armed Assault;2006;Bohemia Interactive Studio;
0154;Armadillo Run;2006;Peter Stock;
0155;Armageddon Empires;2007;Cryptic Comet;
0156;Armed and Dangerous;2003;Planet Moon Studios;
0157;Armies of Exigo;2004;Black Hole Entertainment;
0158;Army Men: Air Tactics;2000;3DO;
0159;Army Men: RTS;2002;Pandemic Studios;
0160;Army Men: Sarge's Heroes;1999;3DO;
0161;Army Men: Sarge's War;2004;Global Star Software;
0162;Arthur and the Invisibles;2007;Etranges Libellules;
0163;Arthur's Knights;2001;Dreamcatcher Interactive;
0164;Arthur's Knights II: The Secret of Merlin;2001;Cryo Interactive;
0165;Arx Fatalis;2002;Arkane Studios;
0166;Asda Story;2008;MaxOn Soft Corp;
0167;Asheron's Call;1999;Turbine Entertainment Software;
0168;Asheron's Call 2: Fallen Kings;2002;Turbine Entertainment Software;
0169;Ashes Cricket 2009;2009;Transmission Games;
0170;Assassin's Creed;2008;Ubisoft Montreal;
0171;Assassin's Creed II;2009;Ubisoft Montreal;
0172;Assassin's Creed III;2012;Ubisoft Montreal;
0173;Assassin's Creed IV: Black Flag;2013;Ubisoft Montreal;
0174;Assassin's Creed Odyssey;2018;Ubisoft Quebec;
0175;Assassin's Creed Origins;2017;Ubisoft Montreal;
0176;Assassin's Creed Syndicate;2016;Ubisoft Quebec;
0177;Assassin's Creed Valhalla;2020;Ubisoft Quebec;
0178;Assassin's Creed: Brotherhood;2010;Ubisoft Montreal;
0179;Assassin's Creed: Revelations;2011;Ubisoft Montreal;
0180;Assault Heroes;2006;Wanako Games;
0181;AssaultCube;2006;Rabid Viper Productions;
0182;Asterix & Obelix;1996;Infogrames;
0183;Asterix & Obelix XXL;2004;Etranges Libellules;
0184;Asterix & Obelix XXL 2: Mission: Las Vegum;2005;Etranges Libellules;
0185;Asterix at the Olympic Games;2008;Etranges Libellules;
0186;Asteroids;1998;Activision;
0187;Asteroids (Microsoft Arcade);1993;Microsoft;
0188;Astonishia Story;2002;Sonnori;
0189;Astral Tournament;2001;Apus Software;
0190;Astro Battle;2004;Lava Lord Games;
0191;AstroPop;2004;PopCap Games;
0192;Astrorock;1996;Intrepid Software Solutions, Inc.;
0193;Atari Anniversary Edition;2001;Digital Eclipse;
0194;Atari Anthology;2004;Digital Eclipse;
0195;Athens 2004;2004;Eurocom;
0196;Atlantica Online;2008;NDOORS Interactive;
0197;Atlantis Evolution;2004;Atlantis Interactive Entertainment;
0198;Atlantis II;1999;Cryo Interactive;
0199;Atlantis III: The New World;2001;Cryo Interactive;
0200;Atlantis Sky Patrol;2006;Big Fish Studios;
0201;Atlantis The Lost Empire: Search for the Journal;2001;Zombie Inc.;
0202;Atlantis The Lost Empire: Trial by Fire;2001;Zombie Inc.;
0203;Atlantis Underwater Tycoon;2003;Activision Value;
0204;Atlantis: The Lost Tales;1997;Cryo Interactive;
0205;Atomic Bomberman;1997;Interplay Entertainment;
0206;Attack on Pearl Harbor;2007;Legendo Entertainment;
0207;Attack on Titan;2016;Omega Force;
0208;Attack on Titan 2;2018;Omega Force;
0209;Attack Retrieve Capture;1997;Hoopy Entertainment;
0210;Audiosurf;2008;Dylan Fitterer;
0211;Auditorium;2012;Cipher Prime;
0212;Austin Powers Pinball;2002;Wildfire Studios;
0213;Australian Rules Football;2010;Big Ant Studios;
0214;Auto Assault;2006;NetDevil;
0215;Auxiliary Power's Demolition Derby and Figure 8 Race;2001;Auxiliary Power, John C. Ardussi;
0216;Avadon 2: The Corruption;2013;Spiderweb Software;
0217;Avadon: The Black Fortress;2011;Spiderweb Software;
0218;Avatar: The Last Airbender;2006;THQ, TOSE;
0219;Avencast: Rise of the Mage;2007;ClockStone;
0220;Avernum;2000;Spiderweb Software;
0221;Avernum 2;2000;Spiderweb Software;
0222;Avernum 2: Crystal Souls;2015;Spiderweb Software;
0223;Avernum 3;2002;Spiderweb Software;
0224;Avernum 4;2005;Spiderweb Software;
0225;Avernum 5;2007;Spiderweb Software;
0226;Avernum 6;2009;Spiderweb Software;
0227;Avernum: Escape from the Pit;2011;Spiderweb Software;
0228;Axiom Verge;2015;Thomas Happ Games;
0229;Axis & Allies;1998;Hasbro Interactive;
0230;Axis & Allies;2004;TimeGate Studios;
0231;Ayakashi Ninden Kunoichiban;1997;Shoeisha;
0232;Azada;2007;Big Fish Studios;
0233;Azada: Ancient Magic;2008;Big Fish Studios;
0234;Aztaka;2009;Citeremis;
0235;Azur Lane: Crosswave;2019;Felistella;
0236;B-17 Flying Fortress: The Mighty 8th;2000;Wayward Design;
0237;Babysitting Mania;2008;iWin;
0238;Babyz;1999;Andrew Stern;
0239;Back Track;1998;Telegames;
0240;Backyard Baseball 2007;2006;Humongous Entertainment;
0241;Backyard Basketball 2007;2006;Atari;
0242;Backyard Football '08;2007;Humongous Entertainment;
0243;Backyard Football '09;2008;Humongous Entertainment;
0244;Backyard Soccer MLS Edition;2001;Humongous Entertainment;
0245;Bad Boys: Miami Takedown;2004;Blitz Games;
0246;Bad Day L.A.;2006;Enlight;
0247;Bad Mojo;1996;Pulse Entertainment;
0248;Bailey's Book House;1993;Theatrix Interactive;
0249;Baku Baku Animal;1995;Sega;
0250;Baldr Force;2002;GIGA Team Baldrhead;
0251;Baldur's Gate;1998;BioWare;
0252;Baldur's Gate II: Shadows of Amn;2000;BioWare;
0253;Baldur's Gate II: Throne of Bhaal;2001;BioWare;
0254;Baldur's Gate: Tales of the Sword Coast;1999;BioWare;
0255;Ballance;2004;Cyparade;
0256;Ballistics;2001;Grin;
0257;Band of Bugs;2007;NinjaBee;
0258;Bandits: Phoenix Rising;2002;Grin;
0259;Bang! Gunship Elite;2000;RayLand;
0260;Bang! Howdy;2006;Three Rings Design;
0261;Banzai Bug;1997;Gravity, Inc.;
0262;Barbie as the Island Princess;2007;Ivolgamus;
0263;Barbie Fashion Show: An Eye for Style;2008;Treyarch;
0264;Barbie Horse Adventures: Mystery Ride;2003;Blue Monkey Studios;
0265;Barbie Horse Adventures: Riding Camp;2008;Pixel Tales;
0266;Barbie Riding Club;1998;Human Code;
0267;Barbie Super Sports;1999;Runecraft;
0268;Barnyard;2006;Blue Tongue Entertainment;
0269;Barrow Hill: Curse of the Ancient Circle;2006;Shadow Tor Studios;
0270;Bastion;2011;Supergiant Games;
0271;Batman: Arkham Asylum;2009;Rocksteady Studios;
0272;Batman: Vengeance;2001;Ubisoft Montreal;
0273;Battle Arena Toshinden 2;1995;Tamsoft, Shintarou Nakaoka;
0274;Battle Beast;1995;7th Level;
0275;Battle Engine Aquila;2003;Lost Toys;
0276;Battle Isle: The Andosia War;2000;Cauldron Ltd.;
0277;Battle of Britain II: Wings of Victory;2005;A2A Simulations;
0278;Battle Raper;2002;Dreams;
0279;Battle Raper 2;2005;Illusion;
0280;Battle Realms;2001;Liquid Entertainment;
0281;Battle Realms: Winter of the Wolf;2002;Liquid Entertainment/Crave;
0282;Battlecruiser 3000AD v2.0;1998;3000 AD;
0283;Battlefield 1942;2002;Digital Illusions CE;
0284;Battlefield 1942: Secret Weapons of WWII;2003;Digital Illusions CE;
0285;Battlefield 1942: The Road to Rome;2003;Digital Illusions CE;
0286;Battlefield 1943;2009;EA Digital Illusions CE;
0287;Battlefield 2;2005;Digital Illusions CE;
0288;Battlefield 2142;2006;Digital Illusions CE;
0289;Battlefield 3;2011;Digital Illusions CE;
0290;Battlefield 4;2013;EA DICE;
0291;Battlefield Heroes;2009;EA Digital Illusions CE;
0292;Battlefield Online;2009;Neowiz Games, Electronic Arts, EA Digital Illusions CE;
0293;Battlefield V;2018;EA DICE;
0294;Battlefield Vietnam;2004;Digital Illusions;
0295;Battlefield: Bad Company 2;2010;EA Digital Illusions CE;
0296;BattleForge;2009;EA Phenomic;
0297;Battleground 2: Gettysburg;1995;TalonSoft;
0298;Battleground 3: Waterloo;1996;TalonSoft;
0299;Battleground 4: Shiloh;1996;TalonSoft;
0300;Battleground 5: Antietam;1996;TalonSoft;
0301;Battleground 6: Napoleon in Russia;1997;TalonSoft;
0302;Battleground 7: Bull Run;1997;TalonSoft;
0303;Battleground 8: Prelude to Waterloo;1997;TalonSoft;
0304;Battleground 9: Chickamauga;1998;TalonSoft;
0305;Battleground: Bulge-Ardennes;1995;TalonSoft;
0306;Battlestations: Midway;2007;Eidos Interactive;
0307;Battlestations: Pacific;2009;Eidos Hungary;
0308;Battlezone;1998;Activision;
0309;Battlezone II: Combat Commander;1999;Pandemic Studios;
0310;Beach Head 2000;2000;Digital Fusion;
0311;Beach Life;2002;Deep Red Games;
0312;Beam Breakers;2002;Similis;
0313;Beast Wars: Transformers;1997;Hasbro Interactive;
0314;Beasts and Bumpkins;1997;Worldweaver Productions;
0315;Beavis and Butt-head in Virtual Stupidity;1995;Viacom New Media;
0316;Beetle Buggin';2000;Xpiral;
0317;Beijing 2008;2008;Eurocom;
0318;Bejeweled;2001;PopCap Games;
0319;Bejeweled Twist;2008;PopCap Games;
0320;Bella Sara;2008;Hidden City Games;
0321;Bendy and the Ink Machine;2017;TheMeatly Games;
0322;Beowulf: The Game;2007;Ubisoft;
0323;Bermuda Syndrome;1995;Century Interactive;
0324;Bet On Soldier: Blood Sport;2005;Kylotonn;
0325;Betrayal in Antara;1997;Sierra Entertainment;
0326;Beyond Divinity;2004;Larian Studios;
0327;Beyond Good & Evil;2003;Ubisoft Montpellier, Ubisoft Milan;
0328;Bible Black;2000;ActiveSoft;
0329;Big Bang Beat;2007;NRF;
0330;Big Biz Tycoon;2002;Animedia;
0331;Big Biz Tycoon 2;2003;4HEAD Studios;
0332;Big Kahuna Reef;2004;Reflexive Entertainment;
0333;Big Kahuna Reef 2;2006;Reflexive Entertainment;
0334;Big Money!;2002;PopCap Games;
0335;Big Mutha Truckers;2002;Eutechnyx;
0336;Big Mutha Truckers 2;2005;Empire Interactive;
0337;Big Rigs: Over the Road Racing;2003;Stellar Stone;
0338;Bigfoot: Collision Course;2008;Destination Games;
0339;Bikini Karate Babes;2002;Creative Edge Studios;
0340;Billy Hatcher and the Giant Egg;2003;Sonic Team;
0341;Billy the Wizard: Rocket Broomstick Racing;2006;Data Design Interactive;
0342;Binary Pot;2002;August;
0343;Bionic Commando;2009;Grin;
0344;Bionic Commando Rearmed;2008;Grin;
0345;Bionicle;2003;Argonaut Games;
0346;Bionicle Heroes;2006;TT Games;
0347;BioShock;2007;2K Boston/2K Australia;
0348;BioShock 2;2010;2K Marin;
0349;BioShock Infinite;2013;Irrational Games;
0350;Birth of America;2006;SEP BOA;
0351;Birthright: The Gorgon's Alliance;1996;Synergistic Software;
0352;Bittersweet Fools;2001;Minori;
0353;Black & White;2001;Lionhead Studios;
0354;Black & White 2;2005;Lionhead Studios;
0355;Black & White 2: Battle of the Gods;2006;Lionhead Studios;
0356;Black & White: Creature Isle;2002;Lionhead Studios;
0357;Black Dahlia;1998;Take Two Interactive;
0358;Black Mesa;2012;Black Mesa team;
0359;Black Skylands;2021;Hungry Couch Games;
0360;Black the Fall;2017;Sand Sailor Studio;
0361;Blacklight: Retribution;2012;Zombie Studios;
0362;BlackSite: Area 51;2007;Midway Studios Austin;
0363;Blade Runner;1997;Westwood Studios;
0364;Blades of Avernum;2004;Spiderweb Software;
0365;Blasphemous;2019;The Game Kitchen;
0366;Blaze and Blade: Eternal Quest;1998;T&E Soft;
0367;Blazing Angels 2: Secret Missions of WWII;2007;Ubisoft Bucharest;
0368;Blazing Angels: Squadrons of WWII;2006;Ubisoft Bucharest;
0369;Bliss;2005;Games for Loving;
0370;Bliss Island;2006;PomPom Games;
0371;Blitzkrieg;2003;Nival Interactive;
0372;Blitzkrieg 2;2005;Nival Interactive;
0373;Block Breaker Deluxe;2004;Gameloft;
0374;Blockland;2007;"Eric ""Badspot"" Hartman, Ben Garney";
0375;Blood & Magic;1996;Tachyon Studios;
0376;Blood Bowl;2009;Cyanide;
0377;Blood II: The Chosen;1998;Monolith Productions;
0378;Blood Omen 2;2002;Crystal Dynamics;
0379;Blood Omen: Legacy of Kain;1997;Silicon Knights;
0380;BloodRayne;2002;Terminal Reality;
0381;BloodRayne 2;2004;Terminal Reality;
0382;BlowOut;2004;Terminal Reality;
0383;Blue Heat: The Case of the Cover Girl Murders;1997;Quarium Inc., MPCA Interactive;
0384;Blueberry Garden;2009;Erik Svedäng;
0385;Blue's Clues Kindergarten;2005;Atari;
0386;Blur;2009;Bizarre Creations;
0387;Bode Miller Alpine Skiing;2006;49Games;
0388;Boiling Point: Road to Hell;2005;Deep Shadows;
0389;Bolt;2008;Avalanche Software;
0390;Bomberman Collection Vol.1;2002;Hudson Soft;
0391;Bomberman Collection Vol.2;2004;Hudson Soft;
0392;Bomberman Online Japan;2008;Shockwave Entertainment, Inc.;
0393;Bomby;2002;X-Ways;
0394;Bone: Out from Boneville;2005;Telltale Games;
0395;Bone: The Great Cow Race;2006;Telltale Games;
0396;Bonnie's Bookstore;2005;New Crayon Games;
0397;Boogie Bunnies;2008;Artech Studios;
0398;Bookworm;2003;PopCap Games;
0399;Bookworm Adventures;2006;PopCap Games;
0400;Borderlands;2009;Gearbox Software;
0401;Bos Wars;2007;Bos Wars Team;
0402;Botanicula;2012;Amanita Design;
0403;Braid;2008;Number None;
0404;Brain Dead 13;1995;ReadySoft;
0405;Brain Exercise with Dr. Kawashima;2009;Namco Bandai;
0406;Bratz;2002;DC Studios;
0407;Bratz 4 Real;2007;Barking Lizards;
0408;Bratz Babyz;2006;AWE Games;
0409;Bratz: Forever Diamondz;2006;Blitz Games, Barking Lizards Technologies;
0410;Bratz: Rock Angelz;2005;Blitz Games, AWE Games;
0411;Bratz: Super Babyz;2008;Creat Studios;
0412;Brawlhalla;2017;Blue Mammoth Games;
0413;Breakout;2000;[unknown];
0414;BreakQuest;2004;Nurium Games;
0415;Breath of Fire IV;2003;Capcom;
0416;Breed;2004;Brat Designs;
0417;Brian Lara Cricket '99;1998;Codemasters;
0418;Brian Lara International Cricket 2005;2005;Swordfish Studios;
0419;Brian Lara International Cricket 2007;2007;Codemasters;
0420;Brick Breaker;2016;Sanuk Games;
0421;Brigade E5: New Jagged Union;2005;Apeiron;
0422;Brink;2010;Splash Damage;
0423;Broken Sword II: The Smoking Mirror;1997;Revolution Software;
0424;Broken Sword: Shadow of the Templars – The Director's Cut;2010;Revolution Software;
0425;Broken Sword: The Angel of Death;2006;Revolution Software;
0426;Broken Sword: The Shadow of the Templars;1996;Revolution Software;
0427;Broken Sword: The Sleeping Dragon;2003;Revolution Software;
0428;Brothers in Arms: Earned in Blood;2005;Gearbox Software;
0429;Brothers in Arms: Hell's Highway;2008;Gearbox Software;
0430;Brothers in Arms: Road to Hill 30;2005;Gearbox Software;
0431;Brunswick Circuit Pro Bowling;1998;Adrenalin Entertainment, Point of View;
0432;Brütal Legend;2013;Double Fine Productions;
0433;Brutish Mine;2000;Illusion;
0434;Bubsy 3D: Bubsy Visits the James Turrell Retrospective;2013;Arcane Kids;
0435;Bubsy: Paws on Fire!;2019;Choice Provisions;
0436;Bug Too!;1997;Realtime Associates;
0437;Bug!;1995;Realtime Associates;
0438;Bugs Bunny & Taz: Time Busters;2000;Artificial Mind and Movement;
0439;Bugs Bunny: Lost in Time;1999;Behaviour Interactive;
0440;Bug's Life, A;1998;Disney Interactive;
0441;Build-a-lot;2007;HipSoft;
0442;Buku Sudoku;2006;Absolutist;
0443;Bully;2006;Rockstar Vancouver;
0444;Burnout Paradise;2008;Criterion Games;
0445;Bus Driver;2007;SCS Software;
0446;Byzantine: The Betrayal;1997;Discovery Channel Multimedia, Stormfront Studios;
0447;Cabal Online;2005;ESTsoft Corp.;
0448;Cabela's 4x4 Off-Road Adventure;2001;Fun Labs;
0449;Cabela's 4x4 Off-Road Adventure 2;2001;Clever's Software Development;
0450;Cabela's 4x4 Off-Road Adventure 3;2003;Fun Labs;
0451;Cabela's African Safari;2006;Sand Grain Studios, Magic Wand Productions, Fun Labs;
0452;Cabela's Alaskan Adventures;2006;Sand Grain Studios, Magic Wand Productions, Fun Labs;
0453;Cabela's Big Game Hunter;1998;Elsinore Multimedia;
0454;Cabela's Big Game Hunter 2005 Adventures;2004;Magic Wand Productions, Fun Labs, Sand Grain Studios, Torus Games;
0455;Cabela's Big Game Hunter 2006 Trophy Season;2005;Magic Wand Productions;
0456;Cabela's Big Game Hunter 4;2000;Elsinore Multimedia Inc.;
0457;Cabela's Big Game Hunter 5: Platinum Series;2001;Elsinore Multimedia Inc.;
0458;Cabela's Big Game Hunter 6;2002;nFusion Interactive LLC;
0459;Cabela's Big Game Hunter II;1998;HeadGames Publishing, Inc.;
0460;Cabela's Big Game Hunter II: Open Season;1998;HeadGames Publishing, Inc.;
0461;Cabela's Big Game Hunter III;1999;HeadGames Publishing;
0462;Cabela's Big Game Hunter III: The Next Harvest;1999;Elsinore Multimedia;
0463;Cabela's Big Game Hunter: 2004 Season;2003;Sand Grain Studios;
0464;Cabela's Dangerous Hunts;2003;Fun Labs;
0465;Cabela's Dangerous Hunts 2;2005;Sand Grain Studios;
0466;Cabela's Deer Hunt: 2005 Season;2004;Magic Wand Productions;
0467;Cabela's GrandSlam Hunting: 2004 Trophies;2003;nFusion Interactive;
0468;Cabela's GrandSlam Hunting: North American 29;2000;Activision Publishing, Inc.;
0469;Cabela's Outdoor Adventures;2005;Sand Grain Studios, Fun Labs, Magic Wand Productions;
0470;Cabela's Outdoor Trivia Challenge;1999;Elsinore Multimedia Inc.;
0471;Cabela's Sportsman's Challenge;1997;Diversions Software, Inc;
0472;Cabela's Ultimate Deer Hunt;2001;nFusion Interactive;
0473;Cabela's Ultimate Deer Hunt 2;2002;Sylum Entertainment, Ltd.;
0474;Caesar II;1995;Impressions Games;
0475;Caesar III;1999;Impressions Games;
0476;Caesar IV;2006;Tilted Mill Entertainment;
0477;Call for Heroes: Pompolic Wars;2007;Quotix Software;
0478;Call of Cthulhu: Dark Corners of the Earth;2005;Headfirst Productions;
0479;Call of Duty;2003;Infinity Ward;
0480;Call of Duty 2;2005;Infinity Ward;
0481;Call of Duty 4: Modern Warfare;2007;Infinity Ward;
0482;Call of Duty: Black Ops IIII;2018;Treyarch;
0483;Call of Duty: Modern Warfare 2;2009;Infinity Ward;
0484;Call of Duty: Modern Warfare 3;2011;Infinity Ward, Sledgehammer Games, Raven Software;
0485;Call of Duty: United Offensive;2004;Gray Matter Studios;
0486;Call of Duty: World at War;2008;Treyarch Invention, LLC;
0487;Call of Juarez;2006;Techland;
0488;Call of Juarez: Bound in Blood;2009;Techland;
0489;Call to Power II;2000;Activision;
0490;Candy Crisis;2005;Candy Crisis project;
0491;Candy Crush Friends Saga;2018;King;
0492;Candy Crush Jelly Saga;2016;King;
0493;Candy Crush Saga;2015;King;
0494;Candy Crush Soda Saga;2015;King;
0495;Capitalism II;2001;Enlight;
0496;Captain Quazar;1996;Cyclone Studios, 3DO;
0497;Captain Tsubasa: Rise of New Champions;2020;Tamsoft;
0498;Car Tycoon;2003;Vectorcom Development;
0499;Caramel Box Yarukibako;2005;Caramel Box;
0500;Caravel DROD;2002;Caravel Games;
0501;Care Bears: Care-a-lot Jamboree;2003;ImagEngine;
0502;Care Bears: Catch a Star!;2005;ImagEngine;
0503;Care Bears: Let's Have a Ball!;2004;ImagEngine;
0504;Carmageddon;1997;Stainless Software Ltd.;
0505;Carmageddon II: Carpocalypse Now;1998;Stainless Software Ltd.;
0506;Carmageddon Max Pack;1997;Stainless Software Ltd.;
0507;Carmageddon Splat Pack;1997;Stainless Software Ltd.;
0508;Carmageddon TDR 2000;2000;Torus Games;
0509;Carmen Sandiego's ThinkQuick Challenge;1999;The Learning Company;
0510;CarneyVale: Showtime;2010;Singapore-MIT GAMBIT Game Lab;
0511;Carnival Cruise Line Tycoon 2005: Island Hopping;2004;Artex Software;
0512;Carnivores;1998;Action Forms;
0513;Carnivores 2;1999;Action Forms;
0514;Carnivores Ice Age;2001;Action Forms;
0515;Carnivores: Cityscape;2002;Sunstorm Interactive;
0516;Cars;2006;Rainbow Studios, Pacific Coast Power & Light, Capybara Games;
0517;Cars Mater-National Championship;2007;Rainbow Studios;
